"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
Pagosa Rafting Outfitters,568,G,20101251235,G,,x,,x,135 Country Center Drive #D,Pagosa Springs,CO,81147,04006,G,34.991889,-82.323764,g1,2010-05-02 00:00:00,G,,x,x,
"Performance Tours, Inc.",130,G,19921045458,G,"Arkansas River, Blue River, Clear Creek, Colorado River",G,"00078956, 00173194, 00181805, 00045730",G,115 Gregg Dr,Buena Vista,CO,81211,08002,G,39.672337,-74.226824,g1,1992-05-04 00:00:00,G,https://performancetours.com/,G,Y,
Peterson AFB Outdoor Recreation,174,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Powderhorn Sports, LTD.",482,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Premium Adventure Tours, LLC.",511,G,20131014960,G,,x,,x,3440 Alvarado Road,Lawson,CO,80436,,N,39.762570,-105.639579,g1,2013-01-07 00:00:00,G,,x,x,
Prescott College,322,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Proudline Guided Fly Fishing, LLC.",566,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"RRA Co, LLC.",171,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Raft Masters,189,G,19931044628,,"Arkansas River, Clear Creek",G,"00078956, 00181805",G,2315 E Main St,Canon City,CO,81212,22002,G,35.023848,-85.273399,g1,1993-04-28 00:00:00,G,http://www.raftmasters.com/,G,Y,"Parent company is River Masters, Inc."
Rapid Transit Rafting,043,G,20101101923,G,"Cache la Poudre River, Colorado River",G,"00205018, 00045730",G,1381 Knox Ct,Denver,CO,80204,16002,G,39.738054,-105.032531,g1,2010-02-19 00:00:00,G,http://www.rapidtransitrafting.com/,G,Y,"Parent company is J.D. Ventures, Inc."
